; ; Text from other option; ;Should I be?
; ; Text from other option; ;Good point.
; ; Text from other option; ;Here, let me help with those bags... I'm sure you want to find your room and get out of those coffee-stained clothes.
; ; Text from other option; ;Relationship Improved
; ; Text from other option; ;Your relationship with Kaitlyn will be affected.
; ; Text from other option; ;Oh, wow...
; ; Text from other option; ;Kaitlyn blushes and looks away, a slight smile curving her lips.
; ; Text from other option; ;"	Too much?"
; ; Text from other option; ;I'm gonna go with no.
; ; Text from other option; ;But you probably want to get out of those coffee-stained clothes. Let me show you to your room!
Kaitlyn; Yay, roomies!;;;
Narrator;Kaitlyn pulls you into a tight hug!;;;
Kaitlyn;  Oops... forgot about the coffee!;;;
You ;" ""Sorry... I should probably change.";;;
Kaitlyn;Sure, I'll show you to your room!;;;
Narrator;Kaitlyn leads you through the suite.;;;
You ;Wait... do we have this whole place to ourselves?;;;
Kaitlyn;Ha! I wish. In case you haven't heard, the school's in a housing crunch. This is a six-person suite!;;;
Kaitlyn;We'll be sharing this place with one other girl... and three guys!;;;
Choice;" 	That's...";;;
Option; ; **Awesome!;;
Option; ;"	Horrible!";;
Option; ;Sexy!;;
You ;This is great! It'll be like having five best friends right off the bat!;;;
Kaitlyn;Just friends? They say the number one rule of freshman year is not to hook up with your roommates...;;;
Kaitlyn;But I don't always play by the rules.;;;
You ; I'll keep that in mind.;;;
; ; Text from other option; ;I can't believe I have to share this place with a bunch of gross dudes...
; ; Text from other option; ;I feel like I just joined a frat or something.
; ; Text from other option; ;Aw, they're not so bad. You'll like them once you meet, I promise.
; ; Text from other option; ;And if they ever get to be too much, we can lock them out of the suite and have a girls' night. Deal?
; ; Text from other option; ;Deal.
; ; Text from other option; ;I wonder if I'll hook up with all of our roommates, or just a couple of them.
; ; Text from other option; ;They say the number one rule of freshman year is not to do exactly that...
; ; Text from other option; ;But I don't always play by the rules.
; ; Text from other option; ;I'll keep that in mind.
Scene; BG_INT_DORM_BEDROOM_DAY;;;
Kaitlyn;Here's your room. Hurry up and change, then we can hit the Welcome Week Fair!;;;
Kaitlyn;Oh, I almost forgot! Every year, they set up a massive slip 'n slide in the middle of the fair!;;;
Kaitlyn;It looks super fun... and it's a great excuse to wear a bikini!;;;
You ; So... are you going to do it?;;;
Kaitlyn;Definitely. You only get one chance to make a first impression.;;;
Kaitlyn;Sliding through the quad in a sexy swimsuit is a great way to make an entrance.;;;
Kaitlyn;I'm gonna go change! Be back in a sec, okay?;;;
Narrator; Some choices cost Diamonds! These can unlock special outfits, let you access exclusive scenes, and earn relationship boosts for you and your friends!;;;
Option; ;Outfit 1;;
Option; ;Outfit 2;;
Premium Option; ; **Premium Outfit;;
Narrator; Kaitlyn runs back to her room to change, and you grab your bikini out of your suitcase.;;;
You ; What do you think?;;;
Kaitlyn; I think I'm roommates with the hottest girl at Hartfeld!;;;
You ; You don't look so bad yourself.;;;
Kaitlyn; Ready to go make a splash?;;;
You ; Let's do this.;;;
; ; Text from other option; ;You change out of your coffee-stained clothes and pull on a cute blouse.
; ; Text from other option; ;What do you think?
; ; Text from other option; ;It's an improvement... but I'm not sure it's right for the slip 'n slide.
; ; Text from other option; ;Heh. Probably not. I'll let you do the sliding for both of us today, okay?
; ; Text from other option; ; Whatever you say. Let's do this!
; ; Text from other option; ;A few minutes later, Kaitlyn returns.
; ; Text from other option; ;Oh! You're still... wearing the same thing.
; ; Text from other option; ;I'm not going to change. The truth is that this awful girl named Becca threw coffee on me within, like, five seconds of meeting me.
; ; Text from other option; ;Yikes. I'm sorry, Jourdan.
; ; Text from other option; ;Don't be. I'm not. And now I'll wear this stain as a badge of honor.
; ; Text from other option; ;I think people will just assume that you spilled on yourself, though...
; ; Text from other option; ;Well... I'll know the truth!
; ; Text from other option; ;And that's what counts.
; ; Text from other option; ;You're an inspiration to us all. Now let's go check out that slip 'n slide!
; ; Text from other option; ;Heh. I'll let you do the sliding for both of us today, okay?
Scene; BG_EXT_CAMPUS_PARK_FAIR_DAY;;;
Narrator; Outside, you find dozens of people manning booths for various organizations. Onlookers cheer as freshmen coast down the slip 'n slide!;;;
Kaitlyn; Here goes nothing!;;;
Narrator; Kaitlyn gets a running start and jumps onto the slip 'n slide! The crowd goes wild.;;;
Madison;  Woo! I'm loving that confidence!;;;
Tripp;" 	Marry me!";;;
You ; My turn.;;;
Narrator; You sprint across the grass and dive head-first onto the slide.;;;
You ; This... is... college!;;;
Narrator;As you reach the end of the slide, you hear people talking about you.;;;
Logan;Who's that girl? She's like... a slip 'n slide angel!;;;
Chris; That's Jourdan. She's the one I was telling you about.;;;
Logan; No fair. How come beautiful girls never knock me over?;;;
Narrator;Just then, Kaitlyn runs up with a couple of snow cones and hands you one.;;;
Kaitlyn;I don't know what flavor you like, so I just got rainbow.;;;
You ; Thanks!;;;
Kaitlyn;I've never seen someone so happy to get a snow cone.;;;
Choice; I'm smiling because...;;;
Option; ; **I think a cute guy is into me!;;
Option; ;I'm happy to be here with you!;;
Option; ;SNOW CONE!;;
You ;This morning, I ran into this super cute guy, and I just overheard him talking to his friend.;;;
Kaitlyn; I'd love to meet him...;;;
Narrator;You look over to where Chris had been standing, but you don't see him anymore.;;;
You ; I guess it'll have to wait.;;;
Kaitlyn; I'll look forward to it...;;;
; ; Text from other option; ;Aw! You're super sweet...
; ; Text from other option; ;And I feel the same way.
; ; Text from other option; ;Maybe it's destiny that we're roommates.
; ; Text from other option; ;I think you might be right.
; ; Text from other option; ;Snooow coooonne!
; ; Text from other option; ;Snooooooow cooooonnnne!
; ; Text from other option; ;Snow cone?
; ; Text from other option; ;We're having a moment here, dude. Leave us alone.
;; Text from other option;; After taking a few minutes to dry off, you and Kaitlyn check out the fair.
; ; Text from other option; ;She jogs back to you.
; ; Text from other option; ;Okay. I have to admit, that looked pretty cool.
; ; Text from other option; ;Thanks. And don't worry. You'll have plenty of chances to impress people around here...
Narrator;After Kaitlyn dries off, the two of you check out the booths at the fair.;;;
Music; MUSIC_COLLEGE_ACTION_CHILL;;;
Kaitlyn;Let's see here... a capella? Nah. Can't sing. Student government? Nah. Don't care.;;;
Narrator;Just then, you spot a familiar face at the Kappa Phi Sigma booth...;;;
You ;Becca.;;;
Becca;Jourdan. Could you not stand so close to our tent?;;;
Becca; We don't want people thinking Kappa Phi Sigma would associate with someone like you.;;;
Kaitlyn;Wow, Jourdan, is this girl serious?;;;
You ; Unfortunately.;;;
Becca; Time to move along.;;;
Madison;Are you sure, Becca? I mean, look at her bikini... it's pure hotness!;;;
Madison;Aren't we basically honor bound to sign her up?;;;
Becca;Madison, would you please stop undermining me?;;;
You ; Don't worry, Becca. I'm not interested in joining any sorority that associates with someone like you.;;;
; ; Text from other option; ;Time to move along.
; ; Text from other option; ;Yeah, her outfit is putting me to sleep. Wake me up when she's gone.
; ; Text from other option; ;Don't worry, we're not planning on sticking around.
; ; Text from other option; ;Time to move along.
; ; Text from other option; ;Yeah, we're not exactly looking for pledges who are covered in coffee... that is coffee, right?
; ; Text from other option; ;The only reason I'm covered in coffee is because Becca threw it on me!
; ; Text from other option; ;Sounds like you need to ask yourself why people want to throw coffee at you, Jourdan.
; ; Text from other option; ;"	What? I--"
; ; Text from other option; ;Ugh, never mind! Let's get out of here, Kaitlyn.
Becca; That's what I thought. Buh bye.;;;
Narrator;Becca smirks at you and sips an iced coffee through a straw.;;;
You ;I see you got a new coffee, Becca...;;;
Choice; (What should I do?);;;
Option; ;'Accidentally' spill it on her!;;
Option; ; **Take the high road.;;
; ; Text from other option; ;You knock your hand against Becca's cup, spilling it all over her!
; ; Text from other option; ;Ahhhhhh!
; ; Text from other option; ;You should be more careful. Coffee stains are super hard to get out.
; ; Text from other option; ;You're going to regret this... you just made an enemy for life.
; ; Text from other option; ;Eh. It seemed like you already hated me anyway.
; ; Text from other option; ;Get. Away. From. Me.
; ; Text from other option; ;Becca, people are starting to avoid our booth...
; ; Text from other option; ;Shut up, Madison!
; ; Text from other option; ;I guess this is where we say 'buh bye.'
; ; Text from other option; ;As you leave, Kaitlyn flashes you a smile.
; ; Text from other option; ;Ms. Queen Bee was completely jealous of your look... AND you doused her in coffee!
; ; Text from other option; ;Dress to Impress!
; ;Text from other option; ;"Your bikini won you an enemy! Yay?
"
;;Text from other option;;Trust me, she had it coming
;;Text from other option;;I can't believe it... your first day and you've already got a nemesis. You're so lucky!
You;…;;;
Becca ;Are you just going to stand there and look depressing?;;;
You; I'll stand wherever I want.;;;
Narrator ;Becca takes a long sip of her coffee.;;;
Becca ;I said buh bye.;;;
You ;Fine. I'm going. But only because I want to.;;;
Kaitlyn;Well, that was interesting...;;;
Kaitlyn;Looks like Ms. Queen Bee was completely jealous of your look!;;;
You;Is that what just happened?;;;
Kaitlyn;Totally. She knew you were a threat, and she lashed out.;;;
Kaitlyn;I can't believe it... your first day and you've already got a nemesis. You're so lucky!;;;
;;Text from other option;;As you leave, Kaitlyn flashes you a grimace.
;;Text from other option ;;A couple of Chanel skirts and they think they're better than us.
;;Text from other option;;Are they wrong?
;;Text from other option;;Of course they're wrong. But don't worry... we'll have our revenge.
;;Text from other option;;We will?
;;Text from other option;;I don't know, I was just being dramatic.
;;Text from other option;;Ahh, gotcha.
Narrator ;As you prepare to head back to your dorm, you look across the quad.;;;
???; ...;;;
Kaitlyn ;See something you like?;;;
Choice ;You mean that guy?;;;
Option;;He's not my type.;;
Option;; **He's TOTALLY my type.;;
Option;;If it's got a pulse, I'm interested.;;
;; Text from other option;;A girl with high standards... I like it.
You;This day keeps getting better and better.;;;
Narrator;The guy looks over at you.;;;
???;...;;;
;;Text from other option;;Mystery Man!
;;Text from other option;;You caught some attention!
Kaitlyn;Okay, he's definitely checking you out... and who can blame him?;;;
Kaitlyn;You look super cute in that bikini!;;;
;;Text from other option;;...
;;Text from other option;;I don't think he noticed me... maybe I should have worn a different outfit.
Narrator;A moment later, the guy walks into a nearby building and disappears from view.;;;
Kaitlyn;Hey, it's getting dark, and I just got a text from our roommates! They're all home!;;;
You;Sounds like it's time to head back to the suite.;;;
Narrator ;few minutes later, you change back into some regular clothes...;;;
Customization;Choose your outfit!;;;
Option;;PORTRAIT_CUSTOM_OUTFIT_CASUAL_SUNDRESS;;
Option;;**PORTRAIT_CUSTOM_OUTFIT_CASUAL_TOMBOY;;
Option;;PORTRAIT_CUSTOM_OUTFIT_CASUAL_URBAN;;
You;Perfect!;;;
Scene;BG_INT_DORM_MAIN_NIGHT;;;
Narrator;As the sun sets, you walk into your dorm living room and find a girl standing in front of a painter's easel.;;;
Abbie; Hey, you must be Jourdan. I'm Abbie.;;;
Narrator; You reach forward to shake her hand...;;;
Abbie; Ah! Careful! I'm covered in paint, and I don't want to ruin your outfit!;;;
; ; Text from other option; ;Er... any more than it's already been ruined with coffee, I guess.
; ; Text from other option; ;Ah! Careful! I'm covered in paint, and I don't want to ruin your outfit!
You ; Oh, you're an artist?;;;
Abbie;Wow...no, I'm a long way away from calling myself an artist.;;;
Abbie;I guess I'm... a girl that paints?;;;
Abbie;Anyway, the guys are all up on the roof. I'll catch up to you later.;;;
Kaitlyn;No way! You're coming with us, Abbie... you can finish your painting later!;;;
Abbie;I guess I'm close to done... what do you think, Jourdan?;;;
You ;Give me a second to fully appreciate your work...;;;
Kaitlyn;So? What's your review, Jourdan?;;;
You ;It looks amazing, Abbie...;;;
Choice; I was just wondering...;;;
Option; ;Where'd you learn to paint like that?;;
Option; ; **Are you the girl in the painting?;;
;; Text from other option; ;Abbie blushes and looks at the floor.
; ; Text from other option; ;I may have spent every lunch period in the art studio during high school...
; ; Text from other option; ;My art teacher was a big influence on me. She really helped me find my style, you know?
; ; Text from other option; ;That's so cool! The closest thing I had to a mentor in high school was Cosmo.
; ; Text from other option; ;Well, I guess we find inspiration where we can, right?
Narrator;Abbie blushes and looks at the floor.;;;
Abbie; Uh... maybe? I don't know.;;;
Abbie;I've heard it's impossible to keep yourself out of your work... and I was definitely super into fairytales when I was little.;;;
Kaitlyn; Aww! That's adorable.;;;
You ;So, it's sort of a self-portrait of the artist as a young girl... plus fairytale creatures?;;;
Abbie; Sort of, yeah.;;;
Kaitlyn;So! Now are you ready to come up to the roof with us, Abbie?;;;
Abbie;Sure... but only if I get to pick the music.;;;
Kaitlyn;Your wish is my command. Now let's go!;;;
Narrator;You and the girls head up the stairs...;;;
Scene; BG_EXT_DORM_ROOFTOP_NIGHT;;;
Kaitlyn;Nice. We've got an amazing view!;;;
Abbie;Ready to meet the guys? This is--;;;
Chris; Actually... we've already met.;;;
You ;Chris? You're my roommate?;;;
